Surveyor,Survey_Date,Page #,Row,StreamName,SectionName,AnglerType,AnglerCategory,TargetSpecies,NumAnglers,Guided?,FishingMethod,Num_Cars,Num_Trailers,Fishing_Start_Time,Interview_Start_Time,Fishing_time_corrected,Fishing_End_Time_Corrected,Percent_time_fished,Species,Origin,Fate,Qty,CompleteTrip,County1,interviewed_today,Comments
"Bosley, April",2/1/2021,1,1,Skagit,Darrington Mill bridge to mouth,Shore,Shore,Steelhead,2,No,Gear,1,0,8:00 AM,9:50 AM,1:50,9:50 AM,1,,,,,No,"98117,1,98155,1",No,
"Bosley, April",2/1/2021,1,2,Skagit,Darrington Mill bridge to mouth,Shore,Shore,Steelhead,1,No,Gear,1,0,7:30 AM,10:03 AM,2:33,10:03 AM,1,,,,,No,98248,No,
"Bosley, April",2/1/2021,1,4,Skagit,Darrington Mill bridge to mouth,Shore,Shore,Steelhead,2,No,Gear,1,0,9:50 AM,1:11 PM,3:21,1:11 PM,1,,,,,No,"98117,1,98155,1",Yes,
"Bosley, April",2/1/2021,1,5,Skagit,Darrington Mill bridge to mouth,Shore,Shore,Steelhead,1,No,Gear,1,0,10:03 AM,1:11 PM,3:08,1:11 PM,1,,,,,No,98248,Yes,
"Bosley, April",2/1/2021,1,6,Skagit,Darrington Mill bridge to mouth,Shore,Shore,Steelhead,2,No,Fly,2,0,11:00 AM,2:30 PM,3:30,2:30 PM,1,,,,,No,"98270,1,98036,1",No,
"Miles, Shelby",2/1/2021,2,1,Skagit,Darrington Mill bridge to mouth,Shore,Shore,Steelhead,2,No,Gear,1,0,9:00 AM,10:21 AM,1:21,10:21 AM,1,,,,,No,98034,Yes,
"Miles, Shelby",2/1/2021,2,2,Skagit,Darrington Mill bridge to mouth,Shore,Shore,Steelhead,1,No,Gear,1,0,9:30 AM,10:32 AM,1:02,10:32 AM,1,,,,,No,98233,Yes,Zip code inaccurate?
"Miles, Shelby",2/1/2021,2,3,Skagit,Darrington Mill bridge to mouth,Shore,Shore,Steelhead,1,No,Gear,1,0,11:30 AM,2:00 PM,2:30,2:00 PM,1,,,,,No,98250,Yes,Zip code inaccurate?
"Miles, Shelby",2/1/2021,2,4,Skagit,Darrington Mill bridge to mouth,Shore,Shore,Steelhead,2,No,Gear,1,0,10:00 AM,3:50 PM,5:50,3:50 PM,1,,,,,No,98226,Yes,Zip code inaccurate?
"Morrison, Patrick",2/1/2021,3,1,Skagit,Dalles bridge to Marblemount bridge,Shore,Shore,Steelhead,1,No,Gear,1,0,11:15 AM,12:45 PM,1:30,12:45 PM,1,,,,,No,98284,No,
