StreamName,YearGroup,Survey.Type,Section.Field,Section.Name,Section.Summ
Skagit,2020-2021,Creel,Little eddy and Big eddy,Skagit,1
Skagit,2020-2021,Creel,Marblemount Bridge Witham Boat Launch,Skagit,1
Skagit,2020-2021,Creel,Chapel hole,Skagit,1
Skagit,2020-2021,Creel,101 hole car body access hole,Skagit,1
Skagit,2020-2021,Creel,Swift/Sutter rest stop,Skagit,1
Skagit,2020-2021,Creel,Howard Miller Steelhead Park Boat Launch,Skagit,1
Skagit,2020-2021,Creel,Primitive boat ramp across from Howard Miller,Skagit,1
Skagit,2020-2021,Creel,Jackman Creek Bridge,Skagit,1
Skagit,2020-2021,Creel,Fabers North boat ramp,Skagit,1
Skagit,2020-2021,Creel,Baker River boat launch,Skagit,1
Skagit,2020-2021,Creel,Fabers South Launch,Skagit,1
Skagit,2020-2021,Creel,Big timber lock sign to Ovenells heritage inn driveway,Skagit,1
Skagit,2020-2021,Creel,Darrington mill bridge ramp,Sauk,2
Skagit,2020-2021,Creel,Bryson Road access parking area,Sauk,2
Skagit,2020-2021,Creel,Bryson Road to USFS Lower Sauk Launch HWY 530,Sauk,2
Skagit,2020-2021,Creel,USFS Lower Sauk Launch,Sauk,2
Skagit,2020-2021,Creel,Lower Sauk Launch bridge to Government bridge HWY 530,Sauk,2
Skagit,2020-2021,Creel,Gov. Bridge Launch,Sauk,2
Skagit,2020-2021,Creel,Government bridge down to Hippie Bar,Sauk,2
Skagit,2020-2021,Creel,Hippie Bar down to Wagon Trail,Sauk,2
Skagit,2020-2021,TieIn,Dalles bridge to Marblemount bridge,Skagit,1
Skagit,2020-2021,TieIn,Darrington Mill bridge to mouth,Sauk,2
Skykomish,2021-2022,Creel,Lewis St.,Skykomish,1
Skykomish,2021-2022,Creel,Al Borlin ,Skykomish,1
Skykomish,2021-2022,Creel,Hanson's,Skykomish,1
Skykomish,2021-2022,Creel,Tualco,Skykomish,1
Skykomish,2021-2022,Creel,High Bridge ,Skykomish,1
Skykomish,2021-2022,Creel,Ben Howard Access,Skykomish,1
Skykomish,2021-2022,Creel,Ben Howard Rd.,Skykomish,1
Skykomish,2021-2022,Creel,Cracker Bar,Skykomish,1
Skykomish,2021-2022,Creel,Sultan,Skykomish,1
Skykomish,2021-2022,TieIn,Confluence to Wallace river,Skykomish,1
Skykomish,2021-2022,Creel,Big Eddy to Wallace,Skykomish,1
Skykomish,2021-2022,Creel,High Bridge to Wallace,Skykomish,1
Skykomish,2021-2022,Creel,Reiter Terminal Area,Skykomish,1
Skykomish,2021-2022,Creel,Wallace River to Confluence ,Skykomish,1
Skykomish,2021-2022,Creel,Wallace River to Sultan,Skykomish,1
Skykomish,2021-2022,Creel,Wallace to Sultan,Skykomish,1
