"Day","Section","Gear","Mean","Median","l95","u95","Date","DayType"
1,"Skagit","Bank",0.6175,0,0,5,"2019-02-01",0
1,"Sauk","Bank",0.175,0,0,1.02499999999998,"2019-02-01",0
1,"Skagit","Boat",0.975,0,0,5,"2019-02-01",0
1,"Sauk","Boat",0.7675,0,0,4.02499999999998,"2019-02-01",0
2,"Skagit","Bank",1.2175,1,0,5.02499999999998,"2019-02-02",1
2,"Sauk","Bank",0.385,0,0,3,"2019-02-02",1
2,"Skagit","Boat",2.5925,2,0,8,"2019-02-02",1
2,"Sauk","Boat",2.9475,2,0,9,"2019-02-02",1
3,"Skagit","Bank",0.7175,0,0,4,"2019-02-03",1
3,"Sauk","Bank",0.465,0,0,3,"2019-02-03",1
3,"Skagit","Boat",2.06,2,0,6.02499999999998,"2019-02-03",1
3,"Sauk","Boat",2.82,2,0,9,"2019-02-03",1
4,"Skagit","Bank",0.2675,0,0,2,"2019-02-04",0
4,"Sauk","Bank",0.1625,0,0,1,"2019-02-04",0
4,"Skagit","Boat",0.63,0,0,3,"2019-02-04",0
4,"Sauk","Boat",1.115,1,0,4,"2019-02-04",0
5,"Skagit","Bank",0.2475,0,0,2,"2019-02-05",0
5,"Sauk","Bank",0.155,0,0,1,"2019-02-05",0
5,"Skagit","Boat",0.505,0,0,2.02499999999998,"2019-02-05",0
5,"Sauk","Boat",1.085,1,0,4,"2019-02-05",0
6,"Skagit","Bank",0.17,0,0,1,"2019-02-06",0
6,"Sauk","Bank",0.1225,0,0,1,"2019-02-06",0
6,"Skagit","Boat",0.31,0,0,2,"2019-02-06",0
6,"Sauk","Boat",1.0175,1,0,3.02499999999998,"2019-02-06",0
7,"Skagit","Bank",0.1925,0,0,1,"2019-02-07",0
7,"Sauk","Bank",0.2175,0,0,1,"2019-02-07",0
7,"Skagit","Boat",0.2625,0,0,2,"2019-02-07",0
7,"Sauk","Boat",1.015,1,0,4,"2019-02-07",0
8,"Skagit","Bank",0.14,0,0,1,"2019-02-08",0
8,"Sauk","Bank",0.1775,0,0,1,"2019-02-08",0
8,"Skagit","Boat",0.3225,0,0,2,"2019-02-08",0
8,"Sauk","Boat",0.81,1,0,3,"2019-02-08",0
9,"Skagit","Bank",0.4325,0,0,3,"2019-02-09",1
9,"Sauk","Bank",0.53,0,0,2,"2019-02-09",1
9,"Skagit","Boat",0.6825,0,0,3,"2019-02-09",1
9,"Sauk","Boat",1.965,2,0,6.02499999999998,"2019-02-09",1
10,"Skagit","Bank",0.445,0,0,2,"2019-02-10",1
10,"Sauk","Bank",0.6375,0,0,3,"2019-02-10",1
10,"Skagit","Boat",0.9775,1,0,4,"2019-02-10",1
10,"Sauk","Boat",2.0775,1,0,8,"2019-02-10",1
11,"Skagit","Bank",0.185,0,0,1,"2019-02-11",0
11,"Sauk","Bank",0.285,0,0,2,"2019-02-11",0
11,"Skagit","Boat",0.4475,0,0,2,"2019-02-11",0
11,"Sauk","Boat",0.82,0,0,4,"2019-02-11",0
12,"Skagit","Bank",0.2025,0,0,2,"2019-02-12",0
12,"Sauk","Bank",0.2525,0,0,2,"2019-02-12",0
12,"Skagit","Boat",0.5925,0,0,3,"2019-02-12",0
12,"Sauk","Boat",0.9925,1,0,4,"2019-02-12",0
13,"Skagit","Bank",0.2275,0,0,2,"2019-02-13",0
13,"Sauk","Bank",0.2675,0,0,2,"2019-02-13",0
13,"Skagit","Boat",0.6125,0,0,3,"2019-02-13",0
13,"Sauk","Boat",0.9425,1,0,5,"2019-02-13",0
14,"Skagit","Bank",0.24,0,0,1,"2019-02-14",0
14,"Sauk","Bank",0.22,0,0,2,"2019-02-14",0
14,"Skagit","Boat",0.6725,0,0,3,"2019-02-14",0
