"Day","Section","Gear","Mean","Median","l95","u95","Date","DayType"
1,"Skagit","Bank",42.5205209085849,39.5177423687229,0.387628342391252,110.046865349864,"2019-02-01",0
1,"Sauk","Bank",16.051662210541,14.040600215134,0.706627988654283,46.0316210825927,"2019-02-01",0
1,"Skagit","Boat",72.880364523803,70.5205577571818,28.5482278419292,128.21327404481,"2019-02-01",0
1,"Sauk","Boat",27.2630392717106,26.4068466853562,10.1691541192342,49.9042515957664,"2019-02-01",0
2,"Skagit","Bank",100.879706371854,97.554472063296,1.5546440155964,235.38992243458,"2019-02-02",1
2,"Sauk","Bank",53.1645893364129,50.1900409880085,2.68161228256114,139.095020483458,"2019-02-02",1
2,"Skagit","Boat",209.438694595763,206.485039712996,110.072591090361,330.781106523593,"2019-02-02",1
2,"Sauk","Boat",116.28696806132,111.531500620945,59.3944722360985,195.564960060779,"2019-02-02",1
3,"Skagit","Bank",64.7964767415333,61.2935591603908,2.38673271589904,145.523276309007,"2019-02-03",1
3,"Sauk","Bank",55.5038361732334,50.9753480463543,4.76062428678679,136.526914350559,"2019-02-03",1
3,"Skagit","Boat",147.27024691934,140.786217717522,90.7425975548077,229.049722955448,"2019-02-03",1
3,"Sauk","Boat",117.443689987976,116.957578700162,60.6789232227837,189.900494549423,"2019-02-03",1
4,"Skagit","Bank",21.6771344430863,19.3816827419619,1.19490975829469,55.2533821967981,"2019-02-04",0
4,"Sauk","Bank",21.6955830551751,17.9584566119215,2.21678870635457,58.3316365298411,"2019-02-04",0
4,"Skagit","Boat",42.8995933707452,40.4204405113843,19.5784711103925,83.7494038001174,"2019-02-04",0
4,"Sauk","Boat",43.6173492087358,39.1972079207073,18.9271156504229,82.2467335059064,"2019-02-04",0
5,"Skagit","Bank",17.2620456249311,14.942678499991,1.10251154726434,42.5271316328294,"2019-02-05",0
5,"Sauk","Bank",21.2382033045046,19.4251710969249,3.03149833033113,54.7268272093307,"2019-02-05",0
5,"Skagit","Boat",30.4974961778911,27.8412188739895,12.9314743912573,66.832170659306,"2019-02-05",0
5,"Sauk","Boat",40.2303532813321,38.9333624349719,16.7000671653195,69.9210636574985,"2019-02-05",0
6,"Skagit","Bank",13.1953605213133,12.0001323421537,1.43263027601343,29.7313437951224,"2019-02-06",0
6,"Sauk","Bank",21.5079067602739,20.6011275115248,5.00431967907012,46.1515432578618,"2019-02-06",0
6,"Skagit","Boat",18.8180276769072,17.7010596926027,7.80750432401057,34.9476007053832,"2019-02-06",0
6,"Sauk","Boat",35.6317593082359,34.3320176964173,17.8954299358404,62.0455330373916,"2019-02-06",0
7,"Skagit","Bank",11.9668904363788,10.9223699621011,1.88720921947507,28.2838820872922,"2019-02-07",0
7,"Sauk","Bank",22.7577367883031,21.2882932815611,6.84013982309497,46.4369316212534,"2019-02-07",0
7,"Skagit","Boat",15.3061169479636,14.6661845504583,6.62553442078873,29.4190319475392,"2019-02-07",0
7,"Sauk","Boat",32.0265703585532,31.0947363762036,14.0300448724389,56.6190313401904,"2019-02-07",0
8,"Skagit","Bank",11.6179617562428,11.2413538042828,2.39298247900962,25.6516811733399,"2019-02-08",0
8,"Sauk","Bank",23.6990960894035,21.1504111862327,7.07313063524906,56.372131863019,"2019-02-08",0
8,"Skagit","Boat",16.0236571818595,15.3039905883573,6.10790411066221,30.4440308951334,"2019-02-08",0
8,"Sauk","Boat",26.0342971265926,25.0804044066771,10.6825676894135,48.9051939022193,"2019-02-08",0
9,"Skagit","Bank",30.3424807804141,27.2753643440855,6.25125640481797,74.5334790605058,"2019-02-09",1
9,"Sauk","Bank",63.7062914030873,61.3677706942175,23.0951331214588,120.96308776545,"2019-02-09",1
9,"Skagit","Boat",45.3912389841123,44.286887997507,20.5845656537351,78.1291437929565,"2019-02-09",1
