"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mu_E[1,1]",0.914611979039907,0.0507527402566528,0.497851146563315,0.0612489312546011,0.599410112945795,0.875715596803474,1.24448793490325,1.90792902919482,96.2232523017895,1.02494781409888
"mu_E[1,2]",1.93025354544517,0.0897126309039034,0.638221162124338,0.529107810871643,1.59767309546095,1.92942364474212,2.28182699608535,3.1693294453294,50.6098692094016,1.10441031327921
"mu_E[2,1]",2.34506017603054,0.115884242994844,0.551467755165876,1.36483948219764,2.01750893053811,2.27967587994747,2.63400565692685,3.70979932723252,22.6459983637568,1.13509459458936
"mu_E[2,2]",1.8689078149677,0.102527849698482,0.617777719677656,0.959588588354691,1.42946305183204,1.75748261537205,2.16712205714805,3.38654234594227,36.3061990575127,1.08359137093593
"B1",0.971789803099147,0.00394490581454707,0.0781207387552824,0.830547037482467,0.924017765569453,0.970547036347183,1.02353466782081,1.13253130898715,392.156488907939,0.994768896849936
"sigma_eps_E",0.37836120361581,0.00927315866098768,0.0617572930117977,0.262598557663503,0.333617941542166,0.379602156495744,0.417313070523135,0.507596768002051,44.3528081484837,1.07963162040393
"sigma_r_E",0.264450125229905,0.00676822501469243,0.0292876626064804,0.211790596921655,0.245491493044658,0.265332746260363,0.280789343403439,0.321449408892115,18.7249147112551,1.1879866609893
"phi_E_scaled",0.94053916362351,0.00392750139225432,0.0288852181334581,0.878084512374951,0.921054420292405,0.940945184007975,0.964834375083316,0.983700579178347,54.0902025584418,1.05018611827433
"eps_E[1,1,1]",-0.00858374380548789,0.0172561239069599,0.337163992838656,-0.60398580327805,-0.233372337121553,-0.00313563491620406,0.202357493510198,0.680084259882243,381.7647938607,0.999468269018592
"eps_E[1,1,2]",0.0548864955165599,0.0109799632838355,0.266979644204893,-0.456617576803232,-0.116857321322092,0.0586238091393882,0.23583485225063,0.546281948092415,591.227360873828,0.99471588450554
"eps_E[1,2,1]",-0.313111920446496,0.0259898965045675,0.369915084621216,-1.06062691697726,-0.545358615044618,-0.313332844902664,-0.0627985531771731,0.415446862538822,202.57926124293,1.02653490207384
"eps_E[1,2,2]",-0.386017569951446,0.0110469035351562,0.243030659348768,-0.85253395628244,-0.562878908311037,-0.398104416967846,-0.227871345383942,0.133935241369869,483.995147006503,1.0033028283049
"eps_E[1,3,1]",-0.135017838545749,0.0193532639763638,0.38014646175369,-0.870185286515942,-0.387972014856315,-0.122720369928293,0.152312958226047,0.486607005132182,385.827753671712,1.0027844121576
"eps_E[1,3,2]",-0.385175804238203,0.0134532833125973,0.345754878298878,-1.07084801593182,-0.605921693119491,-0.387869225985719,-0.174863648578824,0.287313653452359,660.511002793685,0.992472008454346
"eps_E[1,4,1]",-0.227168918906837,0.0143924198077191,0.367794714243555,-0.934900696770316,-0.473803812172384,-0.215204197503762,-0.00989579139747152,0.485392382423789,653.045333366024,0.997478452764514
"eps_E[1,4,2]",-0.470188610851521,0.015049811343504,0.31718848404677,-1.01781370408848,-0.67205991642908,-0.481222551162486,-0.230219821742643,0.161943651990427,444.194023371605,1.00371081740139
"eps_E[1,5,1]",-0.275188729724324,0.0215093971322779,0.359774816741104,-1.00165353246163,-0.508516767416773,-0.269030468670661,-0.0450926032853934,0.431257320375225,279.772513801451,1.00550870792777
"eps_E[1,5,2]",-0.635006280083458,0.0222518621161313,0.354877470693873,-1.42141900300897,-0.873846638209504,-0.609895312180129,-0.368316765569839,-0.0192152863579909,254.345546657392,0.99917655364093
"eps_E[1,6,1]",-0.191061771379959,0.0207727374629659,0.38075733476557,-0.954638547535818,-0.426571699145268,-0.173199045846396,0.0632685860915576,0.597269394198806,335.976647136575,0.993782611565661
"eps_E[1,6,2]",-0.429472092934493,0.0228725443446433,0.341025750076823,-1.10825435156723,-0.645630010359651,-0.441393782881483,-0.186799682836823,0.2153268294258,222.303033537173,1.01348193424763
"eps_E[1,7,1]",-0.118309924365805,0.0214352722653269,0.321017053274221,-0.761829155737213,-0.326245588215882,-0.11773884655161,0.0950638402148317,0.471882121161461,224.283951705807,1.00881698989366
"eps_E[1,7,2]",-0.202260119742805,0.0152250393126895,0.343871923893423,-0.896620198676782,-0.425040108468621,-0.168112069909504,0.0124541544959454,0.406109371503781,510.124980833652,0.99945044371483
"eps_E[1,8,1]",-0.123071145643825,0.017493125166501,0.344279598014255,-0.776411145758031,-0.344551956352287,-0.121673563926643,0.0970614594406085,0.576705581593508,387.335914283202,1.00145339431111
"eps_E[1,8,2]",-0.155794652148178,0.0153827729347414,0.325808471892747,-0.795543386790326,-0.370876171768501,-0.149392042587329,0.0627267405439778,0.45520545030488,448.596093130784,0.996433133447868
