"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"B1",0.76973092256674,0.00427188298133361,0.113578710818541,0.565881349751349,0.693697733189129,0.774791075658968,0.839192972832761,0.9980862783422,706.895430750256,0.993069496381252
"sigma_eps_E",0.453261473612893,0.00335140754618646,0.0523655080609822,0.350287113414274,0.416801265402098,0.451994343344457,0.487590757090277,0.560185673274187,244.138435177035,1.00522938141709
"Lcorr_E[1,1]",1,NA,0,1,1,1,1,1,NA,NA
"Lcorr_E[1,2]",0,NA,0,0,0,0,0,0,NA,NA
"Lcorr_E[1,3]",0,NA,0,0,0,0,0,0,NA,NA
"Lcorr_E[1,4]",0,NA,0,0,0,0,0,0,NA,NA
"Lcorr_E[2,1]",0.756217343616496,0.0203938897131069,0.167685491759473,0.376500251493015,0.665012193416065,0.791857221931364,0.877404829146395,0.977082626819448,67.6068723467435,1.0459967641542
"Lcorr_E[2,2]",0.603171326730833,0.0274216046854816,0.190689427818725,0.212853539063726,0.479750643590485,0.610706200217487,0.746831854764936,0.926404980897801,48.3579074613535,1.08055634345054
"Lcorr_E[2,3]",0,NA,0,0,0,0,0,0,NA,NA
"Lcorr_E[2,4]",0,NA,0,0,0,0,0,0,NA,NA
"Lcorr_E[3,1]",0.737552884527278,0.0247481465590367,0.189495746051349,0.25685264312018,0.627393158847944,0.779747994213178,0.886250363549285,0.969574957460042,58.6291464469416,1.05531996347727
"Lcorr_E[3,2]",0.448457100361784,0.0572672810258263,0.286313665580742,-0.14751387403709,0.257520818918402,0.491235281077505,0.664955785125279,0.87553574902457,24.9960293827391,1.1205259244427
"Lcorr_E[3,3]",0.343157081474495,0.00786471537368876,0.140016993622538,0.118542486924597,0.244226283156669,0.330527301174438,0.426561134584972,0.671404220750381,316.953445276971,1.02095717514456
"Lcorr_E[3,4]",0,NA,0,0,0,0,0,0,NA,NA
"Lcorr_E[4,1]",0.435525929362756,0.0417737225754517,0.247962465854567,-0.117962831327928,0.276391387354845,0.449769790534491,0.620694272132733,0.836508665434882,35.2342909824858,1.05740562000238
"Lcorr_E[4,2]",0.52883708721036,0.0866748339674952,0.346761414017674,-0.384274044201853,0.370404092289967,0.629523978715791,0.76851855151134,0.935519293427039,16.0057302635649,1.19096237995397
"Lcorr_E[4,3]",0.277059459868345,0.0527099104253852,0.276087583035794,-0.323675080984163,0.106173350294011,0.32075607218017,0.475619282246959,0.73649284712599,27.4352671349614,1.16432517509449
"Lcorr_E[4,4]",0.406419932777645,0.0160546851568202,0.177425365132334,0.0763497527782163,0.267841702590364,0.410195228800544,0.532166449154539,0.757647231766423,122.131538776794,1.04467393454594
"sigma_r_E",0.443154371719458,0.00382517307965305,0.0258082097414815,0.395924350803423,0.425880543888087,0.441073127019811,0.458060395630129,0.495239005635464,45.5211869584256,1.06198915025131
"phi_E_scaled",0.888296031533915,0.00212055007221626,0.0355108584529177,0.80896109322429,0.867046867502874,0.892979571127746,0.91119852208485,0.947412141048277,280.430520952477,1.00186549881492
"eps_E[1,1]",0.474555813623342,0.0342480755214198,0.644680378165177,-0.805645171698502,0.0504498520413004,0.473850568449356,0.90863166931436,1.6743485082835,354.337044949872,1.00305370413435
"eps_E[1,2]",0.541057493493648,0.0920868139509216,0.957147197058829,-1.28985035647049,-0.0727612802271257,0.545560149650589,1.18929824493621,2.24953017421465,108.034525553167,1.02870831695344
"eps_E[1,3]",0.349183753411926,0.0677999232910209,0.980341922109206,-1.40020601291529,-0.332198611164683,0.35528169576394,0.987920140525046,2.32813491563472,209.07241908789,1.02312825022871
"eps_E[1,4]",0.489160857617325,0.0444811155943448,1.01642135101634,-1.40965554667459,-0.280389818916915,0.488460439170009,1.18966360470745,2.57133439084124,522.15112349701,0.998890922820511
"eps_E[2,1]",-0.847140548178723,0.0240152752293599,0.712589681389519,-2.28940086910694,-1.29773700832191,-0.817307197843202,-0.384362287176445,0.606707484119342,880.448427266488,0.994258581195112
"eps_E[2,2]",-0.181279498610095,0.0302430281712899,0.886694098386286,-2.02096210756266,-0.796572870871035,-0.10549699134517,0.470917881845766,1.42217960380386,859.601347917791,0.999095100182228
"eps_E[2,3]",0.101452382025491,0.042264841598962,0.913136432046421,-1.87661793172273,-0.493489234149788,0.159167830124386,0.706120074800662,1.78777837150384,466.780655599987,0.999051209570953
"eps_E[2,4]",0.128587563323108,0.0379524317866909,0.905536636730737,-1.74317499389254,-0.405065668460693,0.141010698073659,0.700939066464922,1.87253572441263,569.28905617663,0.994747993426207
"eps_E[3,1]",-0.74027878730801,0.0346015272508802,0.903670261388501,-2.46028937004219,-1.33065129809848,-0.773044776359987,-0.177631887105651,1.29057181053115,682.070779643236,0.994223268361523
"eps_E[3,2]",-0.452539759025136,0.0434674926028519,0.977550264229838,-2.32504063654459,-1.13110112609385,-0.528899557751532,0.155548437046762,1.58120034883446,505.765285490269,0.997533853556391
