"Day","Section","Gear","Mean","Median","l95","u95","Date","DayType"
1,"Skagit","Bank",33.9202956253156,29.2491941072704,9.39350342097338,80.9885441074064,"2019-02-01",0
1,"Sauk","Bank",19.5383882331465,16.5740506144874,11.6582540426102,40.8195211293169,"2019-02-01",0
1,"Skagit","Boat",50.4516651577894,46.9073356297453,34.9038341605919,88.7314519364708,"2019-02-01",0
1,"Sauk","Boat",11.6012421144453,10.5615558689286,3.53108163447372,24.2862584372191,"2019-02-01",0
2,"Skagit","Bank",73.6552526799221,66.6593113895533,33.4965526000068,155.2690569053,"2019-02-02",1
2,"Sauk","Bank",73.0997299672517,65.5618140634014,54.5525690708418,123.446880558867,"2019-02-02",1
2,"Skagit","Boat",165.689284462105,160.764259931887,106.94739449459,264.858792512264,"2019-02-02",1
2,"Sauk","Boat",63.4881026510348,60.1519358558426,31.3097749285048,115.869733198545,"2019-02-02",1
3,"Skagit","Bank",44.7287335067695,41.3728430491182,31.2625101777381,76.7361119141553,"2019-02-03",1
3,"Sauk","Bank",57.1659526104439,54.1161946881552,26.4709028141912,101.714287283701,"2019-02-03",1
3,"Skagit","Boat",114.653779497739,107.607970464643,92.5856367301232,170.195955329493,"2019-02-03",1
3,"Sauk","Boat",68.5125435159068,65.1270145918529,46.2767083856828,113.321092538981,"2019-02-03",1
4,"Skagit","Bank",17.8928648370001,16.2047906616245,6.48594254241859,42.5723345703354,"2019-02-04",0
4,"Sauk","Bank",24.1327027155156,21.166156367881,7.9895122025534,58.649141863646,"2019-02-04",0
4,"Skagit","Boat",41.493436517453,38.1399248367464,17.6912671461451,80.3293528550407,"2019-02-04",0
4,"Sauk","Boat",33.4611345866086,30.8513296517384,12.230771947587,68.971921493417,"2019-02-04",0
5,"Skagit","Bank",13.4024443960942,11.7793194749259,4.87000404686091,33.5489218404666,"2019-02-05",0
5,"Sauk","Bank",18.7992246560116,17.0905958489628,8.44861032607586,36.5649731452781,"2019-02-05",0
5,"Skagit","Boat",27.3893312654487,25.7532065593032,19.693726148914,45.5113894763313,"2019-02-05",0
5,"Sauk","Boat",28.9576842376755,27.0341112695439,14.0494344993776,53.2703874642769,"2019-02-05",0
6,"Skagit","Bank",7.9590762039168,7.09464324624572,3.27705908451179,17.8169602749529,"2019-02-06",0
6,"Sauk","Bank",12.780260484467,11.4864475412445,8.15178858199425,24.2946946446434,"2019-02-06",0
6,"Skagit","Boat",15.3347886875154,14.8150813928119,7.67326214054869,25.9551813341311,"2019-02-06",0
6,"Sauk","Boat",23.1354939879173,21.1884228206398,17.054178386323,37.9262560650426,"2019-02-06",0
7,"Skagit","Bank",7.08088467305708,6.21772167618189,4.14650743950887,14.8219252595564,"2019-02-07",0
7,"Sauk","Bank",12.2136945554421,11.1236688112155,8.53468439690106,21.7539388551414,"2019-02-07",0
7,"Skagit","Boat",12.780016445506,12.3522983893154,6.28305213385815,21.4986124332753,"2019-02-07",0
7,"Sauk","Boat",21.4400308580311,20.0237044196299,11.2725314864875,38.4486832860506,"2019-02-07",0
8,"Skagit","Bank",7.26978604082108,6.44510675348564,2.67285023003154,16.534552432608,"2019-02-08",0
