"Day","Section","Gear","Mean","Median","l95","u95","Date","DayType"
1,"Skagit","Bank",0.011,0.009,0.002,0.036,"2019-02-01",0
1,"Sauk","Bank",0.007,0.005,0.001,0.027,"2019-02-01",0
1,"Skagit","Boat",0.01,0.009,0.003,0.028,"2019-02-01",0
1,"Sauk","Boat",0.033,0.026,0.006,0.1,"2019-02-01",0
2,"Skagit","Bank",0.011,0.009,0.002,0.031,"2019-02-02",1
2,"Sauk","Bank",0.007,0.005,0.001,0.024,"2019-02-02",1
2,"Skagit","Boat",0.01,0.009,0.003,0.026,"2019-02-02",1
2,"Sauk","Boat",0.032,0.027,0.006,0.09,"2019-02-02",1
3,"Skagit","Bank",0.011,0.01,0.002,0.03,"2019-02-03",1
3,"Sauk","Bank",0.007,0.005,0.001,0.022,"2019-02-03",1
3,"Skagit","Boat",0.011,0.01,0.003,0.026,"2019-02-03",1
3,"Sauk","Boat",0.032,0.027,0.008,0.082,"2019-02-03",1
4,"Skagit","Bank",0.012,0.01,0.002,0.03,"2019-02-04",0
4,"Sauk","Bank",0.007,0.006,0.002,0.02,"2019-02-04",0
4,"Skagit","Boat",0.012,0.011,0.004,0.029,"2019-02-04",0
4,"Sauk","Boat",0.033,0.029,0.01,0.077,"2019-02-04",0
5,"Skagit","Bank",0.012,0.011,0.002,0.033,"2019-02-05",0
5,"Sauk","Bank",0.007,0.006,0.002,0.02,"2019-02-05",0
5,"Skagit","Boat",0.014,0.012,0.004,0.034,"2019-02-05",0
5,"Sauk","Boat",0.034,0.03,0.011,0.079,"2019-02-05",0
6,"Skagit","Bank",0.013,0.011,0.003,0.032,"2019-02-06",0
6,"Sauk","Bank",0.008,0.006,0.002,0.02,"2019-02-06",0
6,"Skagit","Boat",0.015,0.013,0.005,0.037,"2019-02-06",0
6,"Sauk","Boat",0.035,0.032,0.013,0.077,"2019-02-06",0
7,"Skagit","Bank",0.013,0.011,0.003,0.03,"2019-02-07",0
7,"Sauk","Bank",0.008,0.007,0.002,0.02,"2019-02-07",0
7,"Skagit","Boat",0.015,0.013,0.005,0.039,"2019-02-07",0
7,"Sauk","Boat",0.035,0.032,0.013,0.072,"2019-02-07",0
8,"Skagit","Bank",0.013,0.012,0.003,0.028,"2019-02-08",0
8,"Sauk","Bank",0.008,0.007,0.002,0.018,"2019-02-08",0
8,"Skagit","Boat",0.015,0.014,0.006,0.038,"2019-02-08",0
8,"Sauk","Boat",0.035,0.033,0.014,0.07,"2019-02-08",0
9,"Skagit","Bank",0.013,0.012,0.004,0.028,"2019-02-09",1
9,"Sauk","Bank",0.008,0.007,0.002,0.018,"2019-02-09",1
9,"Skagit","Boat",0.015,0.014,0.006,0.033,"2019-02-09",1
9,"Sauk","Boat",0.036,0.033,0.015,0.076,"2019-02-09",1
10,"Skagit","Bank",0.013,0.012,0.004,0.027,"2019-02-10",1
10,"Sauk","Bank",0.008,0.007,0.002,0.019,"2019-02-10",1
10,"Skagit","Boat",0.016,0.014,0.007,0.033,"2019-02-10",1
10,"Sauk","Boat",0.036,0.034,0.015,0.077,"2019-02-10",1
11,"Skagit","Bank",0.013,0.012,0.004,0.026,"2019-02-11",0
11,"Sauk","Bank",0.008,0.007,0.002,0.018,"2019-02-11",0
11,"Skagit","Boat",0.017,0.015,0.007,0.038,"2019-02-11",0
11,"Sauk","Boat",0.037,0.034,0.017,0.077,"2019-02-11",0
12,"Skagit","Bank",0.013,0.012,0.004,0.027,"2019-02-12",0
12,"Sauk","Bank",0.008,0.007,0.002,0.018,"2019-02-12",0
12,"Skagit","Boat",0.017,0.015,0.007,0.039,"2019-02-12",0
12,"Sauk","Boat",0.037,0.035,0.018,0.073,"2019-02-12",0
13,"Skagit","Bank",0.013,0.012,0.004,0.027,"2019-02-13",0
13,"Sauk","Bank",0.008,0.007,0.002,0.017,"2019-02-13",0
13,"Skagit","Boat",0.018,0.016,0.007,0.045,"2019-02-13",0
13,"Sauk","Boat",0.039,0.036,0.017,0.078,"2019-02-13",0
14,"Skagit","Bank",0.013,0.013,0.004,0.026,"2019-02-14",0
14,"Sauk","Bank",0.008,0.008,0.002,0.019,"2019-02-14",0
14,"Skagit","Boat",0.018,0.016,0.008,0.041,"2019-02-14",0
14,"Sauk","Boat",0.04,0.036,0.019,0.083,"2019-02-14",0
15,"Skagit","Bank",0.013,0.013,0.005,0.026,"2019-02-15",0
15,"Sauk","Bank",0.008,0.008,0.003,0.018,"2019-02-15",0
15,"Skagit","Boat",0.018,0.016,0.008,0.037,"2019-02-15",0
15,"Sauk","Boat",0.04,0.037,0.02,0.082,"2019-02-15",0
16,"Skagit","Bank",0.013,0.013,0.005,0.026,"2019-02-16",1
16,"Sauk","Bank",0.008,0.008,0.003,0.016,"2019-02-16",1
16,"Skagit","Boat",0.018,0.017,0.008,0.038,"2019-02-16",1
16,"Sauk","Boat",0.04,0.036,0.019,0.075,"2019-02-16",1
17,"Skagit","Bank",0.014,0.013,0.005,0.027,"2019-02-17",1
17,"Sauk","Bank",0.009,0.008,0.003,0.018,"2019-02-17",1
17,"Skagit","Boat",0.018,0.017,0.009,0.036,"2019-02-17",1
17,"Sauk","Boat",0.037,0.035,0.017,0.069,"2019-02-17",1
18,"Skagit","Bank",0.015,0.013,0.006,0.029,"2019-02-18",0
18,"Sauk","Bank",0.009,0.008,0.003,0.019,"2019-02-18",0
18,"Skagit","Boat",0.018,0.017,0.008,0.039,"2019-02-18",0
18,"Sauk","Boat",0.036,0.034,0.017,0.064,"2019-02-18",0
19,"Skagit","Bank",0.015,0.014,0.005,0.029,"2019-02-19",0
19,"Sauk","Bank",0.009,0.008,0.003,0.021,"2019-02-19",0
19,"Skagit","Boat",0.018,0.017,0.008,0.036,"2019-02-19",0
19,"Sauk","Boat",0.035,0.033,0.016,0.065,"2019-02-19",0
20,"Skagit","Bank",0.015,0.014,0.005,0.029,"2019-02-20",0
20,"Sauk","Bank",0.009,0.008,0.003,0.018,"2019-02-20",0
20,"Skagit","Boat",0.017,0.016,0.009,0.033,"2019-02-20",0
20,"Sauk","Boat",0.033,0.031,0.016,0.058,"2019-02-20",0
21,"Skagit","Bank",0.014,0.014,0.005,0.028,"2019-02-21",0
21,"Sauk","Bank",0.009,0.009,0.003,0.018,"2019-02-21",0
21,"Skagit","Boat",0.017,0.017,0.009,0.031,"2019-02-21",0
21,"Sauk","Boat",0.032,0.03,0.016,0.058,"2019-02-21",0
22,"Skagit","Bank",0.015,0.014,0.005,0.028,"2019-02-22",0
22,"Sauk","Bank",0.009,0.009,0.003,0.019,"2019-02-22",0
22,"Skagit","Boat",0.017,0.016,0.008,0.028,"2019-02-22",0
22,"Sauk","Boat",0.031,0.03,0.014,0.055,"2019-02-22",0
23,"Skagit","Bank",0.014,0.013,0.005,0.027,"2019-02-23",1
23,"Sauk","Bank",0.009,0.008,0.003,0.019,"2019-02-23",1
23,"Skagit","Boat",0.016,0.015,0.008,0.027,"2019-02-23",1
23,"Sauk","Boat",0.029,0.028,0.012,0.05,"2019-02-23",1
24,"Skagit","Bank",0.014,0.014,0.005,0.027,"2019-02-24",1
24,"Sauk","Bank",0.009,0.009,0.003,0.019,"2019-02-24",1
24,"Skagit","Boat",0.017,0.016,0.008,0.028,"2019-02-24",1
24,"Sauk","Boat",0.029,0.028,0.013,0.046,"2019-02-24",1
25,"Skagit","Bank",0.014,0.013,0.005,0.028,"2019-02-25",0
25,"Sauk","Bank",0.009,0.009,0.003,0.018,"2019-02-25",0
25,"Skagit","Boat",0.017,0.016,0.008,0.028,"2019-02-25",0
25,"Sauk","Boat",0.029,0.028,0.012,0.048,"2019-02-25",0
26,"Skagit","Bank",0.015,0.014,0.005,0.028,"2019-02-26",0
26,"Sauk","Bank",0.009,0.009,0.003,0.019,"2019-02-26",0
26,"Skagit","Boat",0.017,0.016,0.009,0.03,"2019-02-26",0
26,"Sauk","Boat",0.029,0.029,0.013,0.048,"2019-02-26",0
27,"Skagit","Bank",0.015,0.014,0.006,0.028,"2019-02-27",0
27,"Sauk","Bank",0.009,0.009,0.003,0.018,"2019-02-27",0
27,"Skagit","Boat",0.017,0.016,0.008,0.031,"2019-02-27",0
27,"Sauk","Boat",0.029,0.028,0.013,0.048,"2019-02-27",0
28,"Skagit","Bank",0.015,0.014,0.006,0.026,"2019-02-28",0
28,"Sauk","Bank",0.009,0.009,0.004,0.019,"2019-02-28",0
28,"Skagit","Boat",0.017,0.016,0.009,0.031,"2019-02-28",0
28,"Sauk","Boat",0.029,0.029,0.013,0.051,"2019-02-28",0
29,"Skagit","Bank",0.015,0.015,0.006,0.028,"2019-03-01",0
29,"Sauk","Bank",0.009,0.009,0.003,0.018,"2019-03-01",0
29,"Skagit","Boat",0.017,0.016,0.009,0.028,"2019-03-01",0
29,"Sauk","Boat",0.029,0.028,0.012,0.048,"2019-03-01",0
30,"Skagit","Bank",0.015,0.015,0.006,0.028,"2019-03-02",1
30,"Sauk","Bank",0.009,0.009,0.004,0.016,"2019-03-02",1
30,"Skagit","Boat",0.017,0.017,0.009,0.029,"2019-03-02",1
30,"Sauk","Boat",0.029,0.028,0.013,0.048,"2019-03-02",1
31,"Skagit","Bank",0.016,0.015,0.007,0.026,"2019-03-03",1
31,"Sauk","Bank",0.009,0.009,0.004,0.017,"2019-03-03",1
31,"Skagit","Boat",0.017,0.016,0.009,0.03,"2019-03-03",1
31,"Sauk","Boat",0.029,0.029,0.013,0.046,"2019-03-03",1
32,"Skagit","Bank",0.016,0.016,0.007,0.029,"2019-03-04",0
32,"Sauk","Bank",0.01,0.009,0.004,0.019,"2019-03-04",0
32,"Skagit","Boat",0.017,0.016,0.009,0.027,"2019-03-04",0
32,"Sauk","Boat",0.029,0.029,0.013,0.051,"2019-03-04",0
33,"Skagit","Bank",0.017,0.016,0.007,0.029,"2019-03-05",0
33,"Sauk","Bank",0.01,0.01,0.004,0.018,"2019-03-05",0
33,"Skagit","Boat",0.017,0.016,0.008,0.027,"2019-03-05",0
33,"Sauk","Boat",0.029,0.028,0.012,0.049,"2019-03-05",0
34,"Skagit","Bank",0.018,0.017,0.009,0.033,"2019-03-06",0
34,"Sauk","Bank",0.01,0.01,0.004,0.019,"2019-03-06",0
34,"Skagit","Boat",0.017,0.017,0.008,0.028,"2019-03-06",0
34,"Sauk","Boat",0.03,0.029,0.011,0.052,"2019-03-06",0
35,"Skagit","Bank",0.019,0.017,0.009,0.036,"2019-03-07",0
35,"Sauk","Bank",0.011,0.01,0.005,0.02,"2019-03-07",0
35,"Skagit","Boat",0.017,0.017,0.009,0.031,"2019-03-07",0
35,"Sauk","Boat",0.03,0.03,0.011,0.052,"2019-03-07",0
36,"Skagit","Bank",0.02,0.018,0.01,0.04,"2019-03-08",0
36,"Sauk","Bank",0.011,0.011,0.005,0.021,"2019-03-08",0
36,"Skagit","Boat",0.018,0.017,0.008,0.031,"2019-03-08",0
36,"Sauk","Boat",0.03,0.029,0.012,0.052,"2019-03-08",0
37,"Skagit","Bank",0.021,0.02,0.011,0.039,"2019-03-09",1
37,"Sauk","Bank",0.011,0.011,0.005,0.021,"2019-03-09",1
37,"Skagit","Boat",0.018,0.018,0.009,0.029,"2019-03-09",1
37,"Sauk","Boat",0.03,0.03,0.013,0.049,"2019-03-09",1
38,"Skagit","Bank",0.021,0.019,0.01,0.038,"2019-03-10",1
38,"Sauk","Bank",0.012,0.011,0.006,0.022,"2019-03-10",1
38,"Skagit","Boat",0.018,0.018,0.009,0.029,"2019-03-10",1
38,"Sauk","Boat",0.032,0.031,0.014,0.055,"2019-03-10",1
39,"Skagit","Bank",0.021,0.02,0.011,0.041,"2019-03-11",0
39,"Sauk","Bank",0.013,0.012,0.006,0.026,"2019-03-11",0
39,"Skagit","Boat",0.018,0.018,0.01,0.029,"2019-03-11",0
39,"Sauk","Boat",0.034,0.033,0.015,0.059,"2019-03-11",0
40,"Skagit","Bank",0.02,0.019,0.009,0.037,"2019-03-12",0
40,"Sauk","Bank",0.014,0.012,0.006,0.029,"2019-03-12",0
40,"Skagit","Boat",0.018,0.018,0.008,0.029,"2019-03-12",0
40,"Sauk","Boat",0.034,0.034,0.016,0.06,"2019-03-12",0
41,"Skagit","Bank",0.019,0.018,0.009,0.034,"2019-03-13",0
41,"Sauk","Bank",0.013,0.012,0.006,0.025,"2019-03-13",0
41,"Skagit","Boat",0.018,0.018,0.008,0.031,"2019-03-13",0
41,"Sauk","Boat",0.035,0.034,0.016,0.059,"2019-03-13",0
42,"Skagit","Bank",0.019,0.018,0.008,0.036,"2019-03-14",0
42,"Sauk","Bank",0.012,0.012,0.006,0.023,"2019-03-14",0
42,"Skagit","Boat",0.018,0.018,0.008,0.031,"2019-03-14",0
