Surveyor,Survey_Date,Page #,Row,StreamName,SectionName,AnglerType,AnglerCategory,TargetSpecies,NumAnglers,Guided?,FishingMethod,Num_Cars,Num_Trailers,Fishing_Start_Time,Interview_Start_Time,Fishing_time_corrected,Fishing_End_Time_Corrected,Percent_time_fished,Species,Origin,Fate,Qty,CompleteTrip,County1,interviewed_today,Comments
"Lambert, Leah",2/1/2019,1,1,Skagit,Dalles bridge to Marblemount bridge,Shore,Shore,Steelhead,2,No,Fly,1,0,7:00 AM,8:30 AM,1:30,8:30 AM,1,,,,,No,"98117,1,98155,1",No,yellow dodge truck
"Bosley, April",2/1/2019,2,1,Skagit,Darrington Mill bridge to mouth,Shore,Shore,Steelhead,2,No,Fly,1,0,8:00 AM,9:15 AM,1:15,9:15 AM,1,,,,,No,"98020,1,98036,1",No,
"Bosley, April",2/1/2019,2,2,Skagit,Darrington Mill bridge to mouth,Shore,Shore,Steelhead,1,No,Gear,1,0,7:30 AM,9:30 AM,2:00,9:30 AM,1,,,,,No,98270,No,
"Bosley, April",2/1/2019,2,3,Skagit,Darrington Mill bridge to mouth,Shore,Shore,Steelhead,1,No,Fly,1,0,8:00 AM,9:52 AM,1:52,9:52 AM,1,,,,,No,98020,No,
"Bosley, April",2/1/2019,2,4,Skagit,Darrington Mill bridge to mouth,Shore,Shore,Steelhead,2,No,Fly,1,0,8:00 AM,10:30 AM,2:15,10:15 AM,0.9,,,,,No,"98045,1,98118,1",Yes,
"Bosley, April",2/1/2019,2,4,Skagit,Dalles bridge to Marblemount bridge,Shore,Shore,Steelhead,2,No,Fly,1,0,8:00 AM,10:30 AM,0:15,8:15 AM,0.1,,,,,No,"98045,1,98118,1",Yes,
"Bosley, April",2/1/2019,2,5,Skagit,Darrington Mill bridge to mouth,Shore,Shore,Steelhead,1,No,Gear,1,0,9:30 AM,10:30 AM,1:00,10:30 AM,1,,,,,No,98133,No,
"Bosley, April",2/1/2019,2,6,Skagit,Darrington Mill bridge to mouth,Drift boat / raft,Boat,Steelhead,1,No,Gear,1,0,7:15 AM,10:45 AM,3:30,10:45 AM,1,,,,,Yes,98258,,
"Nelson, Rachel",2/1/2019,3,1,Skagit,Dalles bridge to Marblemount bridge,Drift boat / raft,Boat,Steelhead,3,No,Gear,2,1,9:30 AM,4:00 PM,6:30,4:00 PM,1,BLC,,R,4,Yes,"98237,3",No,
"Nelson, Rachel",2/1/2019,3,1,Skagit,Dalles bridge to Marblemount bridge,Drift boat / raft,Boat,Steelhead,3,No,Gear,2,1,9:30 AM,4:00 PM,6:30,4:00 PM,1,WF,,R,3,Yes,"98237,3",No,
"Nelson, Rachel",2/1/2019,3,2,Skagit,Dalles bridge to Marblemount bridge,Shore,Shore,Steelhead,1,No,Fly,1,0,1:30 PM,4:15 PM,2:45,4:15 PM,1,,,,,No,"98263,1",No,
"Nelson, Rachel",2/1/2019,3,3,Skagit,Dalles bridge to Marblemount bridge,Drift boat / raft,Boat,Bull trout,1,Yes,Fly,2,1,8:00 AM,4:30 PM,8:30,4:30 PM,1,BLC,,R,5,Yes,"98221,1",No,"client + guide, both fished, both were done for the day"
"Nelson, Rachel",2/1/2019,3,4,Skagit,Dalles bridge to Marblemount bridge,Shore,Shore,Steelhead,2,No,Fly,1,0,3:30 PM,5:00 PM,1:30,5:00 PM,1,,,,,Yes,"98284,1",No,
"Bosley, April",2/2/2019,1,1,Skagit,Darrington Mill bridge to mouth,Shore,Shore,Steelhead,2,No,Fly,2,0,7:15 AM,8:35 AM,1:20,8:35 AM,1,,,,,No,"98115,1,98107,1",No,
"Bosley, April",2/2/2019,1,2,Skagit,Darrington Mill bridge to mouth,Shore,Shore,Steelhead,2,No,Gear,1,0,7:30 AM,10:15 AM,2:45,10:15 AM,1,,,,,Yes,"98223,2",No,
"Bosley, April",2/2/2019,1,3,Skagit,Darrington Mill bridge to mouth,Shore,Shore,Steelhead,2,No,Gear,1,0,7:30 AM,11:15 AM,3:45,11:15 AM,1,,,,,No,"98020,1,98019,1",No,
"Bosley, April",2/2/2019,1,4,Skagit,Darrington Mill bridge to mouth,Shore,Shore,Steelhead,3,No,Gear,1,0,7:30 AM,1:15 PM,5:45,1:15 PM,1,BLC,,R,4,Yes,"98034,2,98012,1",No,
"Bosley, April",2/2/2019,1,5,Skagit,Darrington Mill bridge to mouth,Shore,Shore,Steelhead,2,No,Gear,1,0,7:00 AM,1:30 PM,3:54,10:54 AM,0.6,,,,,No,"98229,1,98264,1",Yes,
"Bosley, April",2/2/2019,1,5,Skagit,Dalles bridge to Marblemount bridge,Shore,Shore,Steelhead,2,No,Gear,1,0,7:00 AM,1:30 PM,2:36,9:36 AM,0.4,,,,,No,"98229,1,98264,1",Yes,
"Bosley, April",2/2/2019,1,6,Skagit,Darrington Mill bridge to mouth,Shore,Shore,Steelhead,1,No,Gear,1,0,11:30 AM,1:35 PM,2:05,1:35 PM,1,,,,,No,"98223,1",No,
"Lambert, Leah",2/2/2019,2,1,Skagit,Dalles bridge to Marblemount bridge,Shore,Shore,Steelhead,1,No,Gear,1,0,7:00 AM,8:30 AM,1:30,8:30 AM,1,,,,,No,"98235,1",No,
"Lambert, Leah",2/2/2019,2,2,Skagit,Dalles bridge to Marblemount bridge,Shore,Shore,Steelhead,2,No,Gear,1,0,7:00 AM,8:45 AM,1:45,8:45 AM,1,,,,,No,"98229,2",No,
"Lambert, Leah",2/2/2019,2,3,Skagit,Dalles bridge to Marblemount bridge,Boat with motor,Boat,Steelhead,2,No,Gear,2,1,9:00 AM,12:00 PM,3:00,12:00 PM,1,BLC,,R,4,Yes,"98284,1,98237,1",No,
"Lambert, Leah",2/2/2019,2,4,Skagit,Dalles bridge to Marblemount bridge,Drift boat / raft,Boat,Steelhead,2,No,Gear,2,1,7:30 AM,12:30 PM,5:00,12:30 PM,1,BLC,,R,1,Yes,"98272,1,98232,1",No,
"Lambert, Leah",2/2/2019,2,5,Skagit,Dalles bridge to Marblemount bridge,Drift boat / raft,Boat,Steelhead,2,No,Gear,2,1,6:00 AM,12:45 PM,6:45,12:45 PM,1,BLC,,R,1,Yes,"98233,2",No,
